Component,Average Lost Load
C60.0,0.20142344593487244
C76.0,0.28710044162845477
C33.0,0.18123378369074383
14 hydro,0.0619914629779789
C56.0,0.07656269906654521
C100.0,0.18525658971825848
16 hydro,0.09757627934403501
C95.0,0.15432868480228729
94044364_0,0.06501491098597867
-1464549976_0,0.007419679285614542
20 hydro,0.4193696435545206
C63.0,0.07946642454197603
C39.0,0.09163055564178571
C91.0,0.17205807841256643
9 hydro,0.07631439345834881
C40.0,0.18159427753885904
C49.0,0.23121586908038289
11 hydro,0.04272411278185888
C64.0,0.14729506718261706
C47.0,0.15433964906424016
C69.0,0.0757361798373598
25 hydro,0.018189683019494352
18 hydro,0.0868371709763535
1208445144_0,0.019458443447623916
C85.0,0.13250052905812693
26 hydro,0.07476293499957105
C109.0,0.11588390711944596
C82.0,0.10776436552449727
C86.0,0.21051281549970002
15 hydro,0.0804325270569464
531108144_0,0.15363105222716195
C94.0,0.28807700535840175
1342391373_0,0.9939649814917363
4 hydro,0.031197772146774293
1244424213_0,0.4615112731040171
2009226556_0,1.0069269991227736
C98.0,0.4727231978244701
C34.0,0.08907728983111421
0 hydro,0.04396462352011017
C32.0,0.1451590255875233
C29.0,0.1206731572806857
-646530031_0,0.13695757380891393
C99.0,0.09962175475885297
-1581250990_0,0.1328685807651849
1680295840_0,0.14546180948623025
C30.0,0.06579852662550148
C62.0,0.13645589982044432
19 hydro,0.2417704559919684
C68.0,0.34258775925645923
C57.0,0.3902773969958183
C78.0,0.1897324281529425
C50.0,0.09699779809690534
-753810532_0,1.5090301729325064
52149683_0,0.013234865589034497
C58.0,0.1287327637410774
-450422875_0,0.5488273020878117
2035876983_0,0.12300560198102872
C36.0,0.018019375546959426
1351757781_0,0.2653114708228476
C41.0,0.16333389825147931
C51.0,0.1124593443272737
C59.0,0.05067937291047083
C66.0,0.08201240604401563
C67.0,0.13365951626699718
C84.0,0.08461659177615496
604673162_0,0.008587978342797394
-964455789_0,0.9176613270523314
837974539_0,0.7950918407399394
C72.0,0.2650457665677982
C71.0,0.1270478623772925
-925448157_0,0.06239256748897678
C93.0,0.13615138686823666
C90.0,0.1117547627865116
27 hydro,0.21699195368658128
24 hydro,0.09647052343885654
2140782312_0,0.35107207092020254
3 hydro,0.08481836958144244
-1008369492_0,0.05167554910370228
C73.0,0.5760900268431439
C74.0,0.12281685673093068
-1559876706_0,0.0389397630419554
C35.0,0.13565182790690805
104355897_0,0.02190575894073084
C88.0,0.15535916890510443
869106671_0,0.050976124111446586
7 hydro,0.16396086002184238
-1617796573_0,0.1475253693051878
2099635059_0,0.00011076976251072211
C70.0,0.10807750895734829
-890252095_0,0.02014636638792656
C65.0,0.06906755202000207
-1852926576_0,0.20876927890537006
-929792848_0,0.2249020311608792
-1234324271_0,0.05522122020879956
C83.0,0.14471685085048464
1007144354_0,0.47317854452385993
17 hydro,0.047813302153143354
C89.0,0.09524466421819353
C96.0,0.09947635960859669
591181987_0,0.0646925992802186
83-6 hydro,0.31801827957307666
C87.0,0.11658273514339737
23 hydro,0.08236310248599994
-947615685_0,0.03347963445419741
1286796265_0,0.12063286197919809
6 hydro,0.05362248764040237
C81.0,0.06323408869317268
C92.0,0.26636627559669174
433304102_0,0.05908989890694023
-1578860216_0,1.0953423659729986
C79.0,0.10334960352779823
1117936324_0,0.11309109079982535
C61.0,0.1436440107877612
C97.0,0.13894229946500444
1118471612_0,0.017091513309967422
21 hydro,0.045249087030908956
2 hydro,0.21648764693727346
10 hydro,0.1694600873585856
1635802992_0,0.025246908495766836
-2037512606_0,0.05575845450418421
-885192936_0,0.01810483293308014
C80.0,0.11800011881699175
12 hydro,0.029045592839699937
-1282014296_0,0.4398722774514746
-818481380_0,0.02998626423739893
22 hydro,0.004823792276465464
C31.0,0.14962356258085502
-1389783646_0,1.1163284812333605
C46.0,0.14925420619000945
321953905_0,4.432345261625414e-06
49 onwind,0.003371187108384083
C48.0,0.07476326205952091
C77.0,0.13347116817130117
5 hydro,0.05115389212057823
-1953944760_0,0.1168599991734671
-885807357_0,0.05049131872615835
1725610665_0,0.09381885074629773
37-1 hydro,0.04712710544579532
-694231642_0,0.06362886914648887
95418176_0,0.0910312400383389
-1698692648_0,0.002730219303069054
1631160969_0,0.0797727330818429
-1495835241_0,0.008372369702058801
-1964503845_0,0.025652413050386225
C75.0,0.08430095830889803
1309316397_0,0.0746636381463927
935740859_0,0.005690970488046037
65 onwind,0.002573598139012313
83-7 hydro,0.21657210162775314
1689922187_0,0.31924452364142997
2000149022_0,0.2897255632374187
733428179_0,0.0004815061687140997
-2004087020_0,0.02978487978066944
1385764829_0,0.004306754021516713
1 hydro,0.13625413058789823
-251780797_0,0.04406080940737967
1608386132_0,0.18953736617415518
346179098_0,0.016120180773799724
-12578261_0,0.31225937641283863
-1516111715_0,0.670332991176882
1302371731_0,0.13246974267645234
-1610587687_0,0.00707738044725745
-393847358_0,0.09989719157356405
1872975398_0,0.03129101975991439
13 hydro,0.024182966965702067
-1326778859_0,0.019495662483971762
98 solar,0.0465799560504586
1333044421_0,0.05807004309179252
8 hydro,0.03505509783291692
67 onwind,1.630712258429412e-06
1686888444_0,0.41010657594719885
2048231543_0,0.017204449000138643
950706355_0,0.0019129458069650353
-657715146_0,0.09394695505566407
1384506802_0,0.00017033497726563383
-382422293_0,0.13204948752340975
1622358979_0,0.012374556287625248
-413285834_0,0.006700793041463271
-724931943_0,0.005959454924719716
-444590878_0,0.1441378935201898
-1658871680_0,0.02703026580648153
1064099230_0,0.0821270551958402
-1452859278_0,0.0007169172255676358
-546895751_0,0.0008529920627983302
-1786957592_0,0.0024668715119599708
-1016478854_0,0.056443483451452406
72 solar,1.8377676287855136e-07
211471178_0,0.0002885679339904755
-1382799058_0,0.04538705192150484
25 solar,2.3400592863254132e-08
-267795115_0,0.016982969363032906
868669670_0,0.02079487050248246
2 solar,4.219081120027113e-10
-1003233322_0,0.0014204508959100735
483659582_0,0.2701065981646652
1487666159_0,0.36163597543184844
68 onwind,2.207938221999939e-07
