Components,Average Lost Load
(),7.671751617644711
"('C39.0', '10 hydro')",1.8756207025035107e-06
"('C60.0', 'C39.0', '10 hydro')",3.0535687005794896e-08
"('C60.0', '10 hydro')",0.001524882166644352
"('C60.0', 'C76.0')",0.010227967171500802
"('1342391373_0', 'C60.0', 'C76.0')",0.0999137735638467
"('C76.0', 'C109.0')",0.01935078495876369
"('C59.0', 'C76.0')",0.04302967980229615
"('321953905_0', 'C33.0', 'C59.0')",0.0011236278136438614
"('C33.0', 'C59.0')",5.13582665348622e-08
"('C33.0', 'C59.0', 'C97.0')",0.0022601555689775073
"('1309316397_0', 'C33.0', 'C59.0', 'C97.0')",0.005871995688248058
"('C33.0', 'C97.0')",8.193986978994872e-08
"('-1382799058_0', 'C33.0')",0.053838933885881166
"('-1234324271_0', 'C33.0')",0.0020893195337551105
"('C33.0', '14 hydro')",0.010646778150942374
"('C100.0', 'C86.0')",0.0017876094143237313
"('C100.0', 'C85.0', 'C86.0')",2.5046152620689098e-08
"('C100.0', 'C85.0')",0.002063149599200062
"('C40.0', 'C85.0', '10 hydro')",7.265160876158916e-07
"('C46.0', 'C40.0', 'C85.0', '10 hydro')",3.1532314253581717e-07
"('C40.0', 'C85.0', '10 hydro', '16 hydro')",3.77585103558431e-07
"('C40.0', 'C92.0', 'C85.0', '10 hydro', '16 hydro')",2.9024961963841635e-07
"('C40.0', 'C92.0', 'C83.0', 'C85.0', '10 hydro', '16 hydro')",7.5449222606494e-08
"('C40.0', 'C83.0', 'C85.0', '10 hydro', '16 hydro')",3.40139293291486e-07
"('C83.0', 'C85.0', '16 hydro')",0.0019039112338434395
"('C83.0', '16 hydro')",2.6747995821096994e-08
"('C78.0', '16 hydro')",0.016776444420803737
"('-1464549976_0', 'C48.0')",0.004966550865290696
"('-1464549976_0', 'C48.0', '20 hydro')",0.022005619007887937
"('C48.0', '20 hydro')",0.00460754394650321
"('1384506802_0', '20 hydro')",0.0030318204927920873
"('C63.0', '20 hydro')",0.015311743033454173
"('94044364_0', 'C39.0')",7.248275474012189e-08
"('1342391373_0', 'C39.0')",0.06701541829887207
"('C39.0', 'C97.0')",5.007160875004502e-05
"('C39.0', 'C91.0', 'C97.0')",0.0008941299289162202
"('1309316397_0', '9 hydro')",0.00982868804470696
"('1309316397_0', 'C48.0', '9 hydro')",5.8251174300494314e-08
"('1309316397_0', 'C48.0', 'C56.0', '9 hydro')",0.010498558625817644
"('C48.0', 'C56.0', '9 hydro')",3.193236857441661e-08
"('C48.0', '9 hydro')",0.0005613859985725526
"('1635802992_0', 'C48.0', '9 hydro')",7.42276600135483e-08
"('1635802992_0', 'C48.0', '9 hydro', '24 hydro')",0.0032767083314889983
"('1635802992_0', 'C85.0', '9 hydro')",1.6557549145090888e-08
"('C85.0', '9 hydro')",0.006284935872090147
"('C82.0', 'C85.0', '9 hydro')",0.008185367272887333
"('C33.0', 'C82.0', 'C85.0', '9 hydro')",0.006394852487799085
"('C33.0', 'C82.0', 'C85.0')",0.0022166342229108524
"('C33.0', 'C94.0', 'C82.0', 'C85.0')",2.6536047266745298e-08
"('C33.0', 'C94.0', 'C96.0', 'C82.0', 'C85.0')",0.017518550485419653
"('C33.0', 'C94.0', 'C96.0', 'C85.0')",0.02481198642557474
"('C33.0', 'C96.0', 'C85.0')",2.4993008084948086e-07
"('C33.0', 'C67.0', 'C96.0', 'C85.0')",0.004535609519695594
"('C33.0', 'C85.0')",0.0017357229926636593
"('C33.0', 'C40.0')",0.0001428707624113372
"('-646530031_0', 'C33.0', 'C40.0')",0.006202954769001212
"('C33.0', 'C40.0', '5 hydro')",1.1251573373556312e-07
"('C33.0', 'C40.0', '5 hydro', '27 hydro')",1.1094860756202252e-07
"('C33.0', 'C40.0', '27 hydro')",1.5375882351236214e-07
"('C32.0', 'C49.0')",0.021293272285378542
"('1907994245_0', 'C32.0', 'C49.0')",0.05036475248854276
"('1907994245_0', 'C49.0')",0.03977342319523665
"('1907994245_0', 'C49.0', 'C39.0', '11 hydro')",8.473691777908243e-08
"('1907994245_0', 'C49.0', 'C39.0', 'C109.0', '11 hydro')",0.072789477986843
