Components,Occurrences
(),22403
"('C39.0', '10 hydro')",16
"('C60.0', 'C39.0', '10 hydro')",1
"('C60.0', '10 hydro')",1
"('C60.0', 'C76.0')",32
"('1342391373_0', 'C60.0', 'C76.0')",12
"('C76.0', 'C109.0')",18
"('C59.0', 'C76.0')",27
"('321953905_0', 'C33.0', 'C59.0')",1
"('C33.0', 'C59.0')",2
"('C33.0', 'C59.0', 'C97.0')",7
"('1309316397_0', 'C33.0', 'C59.0', 'C97.0')",7
"('C33.0', 'C97.0')",3
"('-1382799058_0', 'C33.0')",5
"('-1234324271_0', 'C33.0')",1
"('C33.0', '14 hydro')",6
"('C100.0', 'C86.0')",21
"('C100.0', 'C85.0', 'C86.0')",1
"('C100.0', 'C85.0')",14
"('C40.0', 'C85.0', '10 hydro')",18
"('C46.0', 'C40.0', 'C85.0', '10 hydro')",8
"('C40.0', 'C85.0', '10 hydro', '16 hydro')",10
"('C40.0', 'C92.0', 'C85.0', '10 hydro', '16 hydro')",8
"('C40.0', 'C92.0', 'C83.0', 'C85.0', '10 hydro', '16 hydro')",2
"('C40.0', 'C83.0', 'C85.0', '10 hydro', '16 hydro')",11
"('C83.0', 'C85.0', '16 hydro')",10
"('C83.0', '16 hydro')",2
"('C78.0', '16 hydro')",42
"('-1464549976_0', 'C48.0')",5
"('-1464549976_0', 'C48.0', '20 hydro')",12
"('C48.0', '20 hydro')",9
"('1384506802_0', '20 hydro')",2
"('C63.0', '20 hydro')",8
"('94044364_0', 'C39.0')",2
"('1342391373_0', 'C39.0')",7
"('C39.0', 'C97.0')",10
"('C39.0', 'C91.0', 'C97.0')",11
"('1309316397_0', '9 hydro')",9
"('1309316397_0', 'C48.0', '9 hydro')",3
"('1309316397_0', 'C48.0', 'C56.0', '9 hydro')",5
"('C48.0', 'C56.0', '9 hydro')",1
"('C48.0', '9 hydro')",2
"('1635802992_0', 'C48.0', '9 hydro')",4
"('1635802992_0', 'C48.0', '9 hydro', '24 hydro')",3
"('1635802992_0', 'C85.0', '9 hydro')",4
"('C85.0', '9 hydro')",23
"('C82.0', 'C85.0', '9 hydro')",5
"('C33.0', 'C82.0', 'C85.0', '9 hydro')",1
"('C33.0', 'C82.0', 'C85.0')",7
"('C33.0', 'C94.0', 'C82.0', 'C85.0')",1
"('C33.0', 'C94.0', 'C96.0', 'C82.0', 'C85.0')",2
"('C33.0', 'C94.0', 'C96.0', 'C85.0')",2
"('C33.0', 'C96.0', 'C85.0')",8
"('C33.0', 'C67.0', 'C96.0', 'C85.0')",4
"('C33.0', 'C85.0')",9
"('C33.0', 'C40.0')",33
"('-646530031_0', 'C33.0', 'C40.0')",1
"('C33.0', 'C40.0', '5 hydro')",3
"('C33.0', 'C40.0', '5 hydro', '27 hydro')",3
"('C33.0', 'C40.0', '27 hydro')",5
"('C32.0', 'C49.0')",42
"('1907994245_0', 'C32.0', 'C49.0')",11
"('1907994245_0', 'C49.0')",10
"('1907994245_0', 'C49.0', 'C39.0', '11 hydro')",2
"('1907994245_0', 'C49.0', 'C39.0', 'C109.0', '11 hydro')",12
"('2000149022_0', '1907994245_0', '433304102_0', 'C49.0', 'C39.0', 'C109.0', '11 hydro')",1
"('2000149022_0', 'C49.0', 'C39.0', 'C109.0', '11 hydro')",7
