Component,Total Lost Load
2009226556_0,6541.650498737633
1342391373_0,6329.731368728135
1007144354_0,6244.293082435645
-1578860216_0,6065.509825078156
-753810532_0,5891.704354965336
C98.0,5636.738572896318
-1389783646_0,3883.8853207207253
C109.0,3817.5275969783556
837974539_0,3773.201466239766
C74.0,3301.352278346559
C73.0,3273.569837032484
C41.0,3236.515061342574
C99.0,3214.889307999015
C97.0,3177.637553194507
C72.0,3163.59873831452
C39.0,3152.145198183984
C94.0,3150.25077166855
C49.0,3131.482484092392
C56.0,3097.5462354845135
C96.0,3095.818209536418
C87.0,3065.433900431901
C95.0,3025.032259610609
C46.0,3017.6996899814694
C93.0,3017.0538657712355
C40.0,3013.059575197677
C81.0,3001.6087929057917
C89.0,2995.897210601574
C92.0,2983.5463640099592
C65.0,2978.5229154958442
C66.0,2978.265416427474
C75.0,2971.1775875106514
C30.0,2971.0793481447217
C78.0,2970.4542448023653
C64.0,2962.262981777308
C35.0,2942.5961442676557
C63.0,2937.653430353037
C51.0,2922.0492258337144
C82.0,2921.9046176122006
C60.0,2916.444481497938
C71.0,2914.526470386688
C77.0,2911.4449721271985
C57.0,2908.772463321653
C34.0,2905.2298667244563
C29.0,2904.616861349846
C90.0,2882.1377156485732
C32.0,2880.734509184562
C59.0,2880.2735384191656
C80.0,2877.512751435735
C100.0,2873.6702382676413
C61.0,2868.2547840229436
C47.0,2867.231703203993
C50.0,2848.8948553900864
C48.0,2844.054455919085
C31.0,2839.793302727906
C88.0,2839.5869589978824
C86.0,2829.4830265114083
C69.0,2827.0967097170037
C33.0,2813.796347942027
C84.0,2807.4867131434007
C67.0,2804.080271704785
C68.0,2798.0905277046463
C76.0,2793.1044744145324
C83.0,2791.0831825061655
C58.0,2783.805543126489
C62.0,2781.402694226071
C79.0,2770.101114374311
C91.0,2718.75846072652
C85.0,2713.8800650377857
C70.0,2708.053315967314
C36.0,2669.3256980608285
-450422875_0,2338.3647040691594
83-7 hydro,2305.5369883593057
19 hydro,2256.5249560535453
1686888444_0,2221.7707263509437
-1516111715_0,2206.9304766702844
27 hydro,2153.6523353061607
20 hydro,2001.0018553611687
83-6 hydro,1938.6219260744633
2140782312_0,1804.523832069366
1244424213_0,1748.4480438645405
-646530031_0,1668.0427420249496
2000149022_0,1645.5538946740382
3 hydro,1623.8413565297997
0 hydro,1615.1541745810766
-382422293_0,1604.4137578121652
1 hydro,1583.337156265428
24 hydro,1570.2483781405758
37-1 hydro,1567.4476084523776
15 hydro,1550.2246732497006
2 hydro,1530.9715874831948
1351757781_0,1521.381118059157
-964455789_0,1520.2952717240566
17 hydro,1511.437792970775
23 hydro,1509.3106767995223
18 hydro,1482.6981024844545
6 hydro,1478.7337682908876
16 hydro,1461.805097861157
-12578261_0,1447.6598263216245
25 hydro,1445.7566818974021
5 hydro,1436.0713971898692
