Component,Total Lost Load
1007144354_0,517.357702358966
2009226556_0,434.02075938600916
-1578860216_0,299.3747710686173
-753810532_0,266.7393077832583
1342391373_0,220.26637216909825
-1389783646_0,156.50759662332175
837974539_0,144.39653078065714
C109.0,140.6596257124902
C98.0,124.01749567952879
2000149022_0,123.22947849452551
1680295840_0,120.12590369755773
C31.0,112.93829807616868
C57.0,110.1769608714415
C91.0,108.37459220194329
C84.0,107.98566913795584
C40.0,104.9901665212522
C63.0,104.70267059868698
C82.0,104.63276552021391
C49.0,104.57766903897777
C32.0,104.47394723168985
531108144_0,104.31736197011568
C96.0,104.31238530513123
-1282014296_0,101.03209036772316
C89.0,100.37294699835091
C70.0,99.95953279602985
C66.0,97.55054227093254
C85.0,96.62017320553983
C41.0,95.60497981834861
C48.0,95.57842455622828
-929792848_0,95.52388287782489
