Generator,Total Load Loss
1 load,117420.29338261152
3 load,8959.180287490602
5 load,277960.3806860332
7 load,32146.008597684006
9 load,7643.884247267437
11 load,200945.9411648897
13 load,1926.6596653995578
16 load,12640.069604224445
18 load,21982.898542085146
20 load,5324.138370942633
22 load,27401.185999163903
24 load,763.7363813044528
26 load,56851.84078193932
28 load,948.8574343933008
30 load,622399.2155544525
32 load,6965.476167433283
33 load,27775.986349495786
34 load,51967.65866794665
35 load,44171.267620880826
36 load,21223.733089894966
37 load,524.8228249936752
38 load,9349.7551055901
39 load,17.031555102943134
40 load,23694.90345551502
41 load,404423.92435367475
42 load,21320.26893060558
43 load,22392.142998949847
44 load,9.31175516087048
46 load,75.4322662127723
47 load,20943.91896922429
48 load,6366.598632500625
49 load,21545.887713078828
50 load,22405.750707925352
51 load,6948.11936832988
52 load,367.9530365917403
53 load,16582.64067230312
54 load,2200.212592672624
55 load,188183.025364279
56 load,1641.3577669838821
57 load,4312.993429573143
58 load,3054.479398852379
59 load,81138.88861454025
60 load,4675.148417021055
61 load,6074.377733315732
62 load,3387.899344073024
63 load,244.00574791860018
64 load,63329.78966177005
65 load,11183.39301400628
66 load,9161.969616598837
67 load,39517.97622059337
68 load,800.9421222022808
69 load,8456.242434874148
70 load,1693.050589981937
71 load,1098.4879668738847
72 load,467.4254141113911
73 load,1925.2888305293543
74 load,12493.470624428419
75 load,247.9912028876444
76 load,20949.862810723276
77 load,14626.189288904941
78 load,91447.3071877514
79 load,18719.19896878463
80 load,69829.96193973644
81 load,6.0743652675176145
82 load,25024.515883873493
83 load,64.6446060236446
84 load,4987.893319838221
85 load,5353.700443494349
86 load,13588.712357275957
87 load,36167.41727807252
88 load,1581.0989076141175
89 load,906.0654408005934
90 load,192.64031764174936
91 load,2080.6834146644737
92 load,522.8526933942838
93 load,10502.9604555598
94 load,66074.24323286091
95 load,1581.9863607687253
96 load,1449.903320185842
97 load,11.24519163027996
98 load,71748.0583072107
99 load,25162.8506425763
100 load,446.4925408914029
