Component,Lost Load
18 hydro,81.52577748830491
C46.0,168.87332275182644
C47.0,159.4925653500547
C84.0,162.2303078887474
C59.0,169.36128913084804
-1788193310_0,8.048066294714213
950706355_0,13.097211702529403
C75.0,174.3930142918802
C100.0,184.54357176202194
C63.0,163.70659260222476
C85.0,161.40779993968837
14 hydro,43.230534105198636
C48.0,162.6245903443982
C36.0,182.86716666365885
37-1 hydro,98.29356734097628
C97.0,169.33720050787426
C32.0,164.07620260048833
-646530031_0,265.8926938730933
C93.0,170.94841279177479
C60.0,163.9706622658416
104355897_0,22.688629933783034
C89.0,180.8209508898795
C88.0,156.4879392720767
C70.0,163.84236970773912
C99.0,211.69134012402603
3 hydro,110.0184482553053
C74.0,227.6864932173487
C73.0,246.5598357163691
C82.0,160.47395631926238
6 hydro,98.51826652605354
C30.0,162.13104822261633
-753810532_0,1243.4507909232063
C76.0,168.4290240692335
-1282014296_0,235.56145943722566
19 hydro,254.7881208294238
C81.0,166.32902102965215
346179098_0,48.513779422097244
C90.0,160.0511952453411
C31.0,167.2773673266787
C49.0,177.112384603983
C33.0,158.5728565459915
C50.0,158.50736702186438
C41.0,204.96063091695967
C65.0,157.12293131370117
C62.0,168.20886500764607
C66.0,160.7940584457939
C40.0,139.64804787147028
C80.0,171.45588984617763
-885192936_0,30.434245551261284
C79.0,160.04230057959063
1302371731_0,139.9101630391379
C86.0,169.3383284467705
C29.0,171.34453607045245
10 hydro,58.88712412905024
869106671_0,33.632960253464546
23 hydro,81.16370908396799
C83.0,159.4658258267337
C57.0,182.12179666714667
C58.0,169.29434258246022
C64.0,176.2476706277161
2000149022_0,320.22019276967
1680295840_0,234.0948079554555
59 solar,0.1783552965798037
C87.0,157.82638373576927
C91.0,167.28559786686782
1342391373_0,1256.6955822467041
C92.0,198.44659113701871
20 hydro,225.34067752892213
C78.0,168.4762493387363
24 hydro,82.29769975402425
4 solar,0.6390214475403155
1309316397_0,144.10994076083796
1622358979_0,82.63817848666105
83-6 hydro,190.7733193320576
83-7 hydro,231.9955179586774
-1452859278_0,197.62842036958742
2009226556_0,1298.7862896756587
1351757781_0,270.20646218862396
94044364_0,90.5999495956892
4 hydro,61.49892203782866
-450422875_0,386.4375639496814
837974539_0,765.7169388824466
13 hydro,44.302110808870424
27 hydro,223.0214679466245
1007144354_0,1317.0074406110307
2140782312_0,301.98743986248365
7 hydro,50.97992573116437
15 hydro,98.0289195145118
