Generator,Times Load Loss
1 load,56951
3 load,8597
5 load,44709
7 load,8801
9 load,18903
11 load,158563
13 load,2586
16 load,14208
18 load,21421
20 load,12239
22 load,15358
24 load,1390
26 load,9489
28 load,12070
30 load,533803
32 load,1925
33 load,13830
34 load,30994
35 load,8789
36 load,11429
37 load,193
38 load,26797
39 load,190
40 load,7844
41 load,175182
42 load,10509
43 load,7063
44 load,325
46 load,213
47 load,40826
48 load,7897
49 load,5869
50 load,6716
51 load,5616
52 load,636
53 load,14371
54 load,2996
55 load,506361
56 load,3388
57 load,2647
58 load,5097
59 load,86681
60 load,18569
61 load,5446
62 load,3494
63 load,633
64 load,101379
65 load,10481
66 load,9002
67 load,27203
68 load,1706
69 load,6712
70 load,7684
71 load,4783
72 load,10815
73 load,7471
74 load,19593
75 load,1348
76 load,21015
77 load,26628
78 load,51742
79 load,16764
80 load,25431
81 load,0
82 load,8195
83 load,884
84 load,10068
85 load,18919
86 load,7207
87 load,26473
88 load,7091
89 load,3231
90 load,810
91 load,8214
92 load,4690
93 load,16179
94 load,467504
95 load,5454
96 load,12271
97 load,333
98 load,56283
99 load,36909
100 load,1821
