Generator,Total Load Loss
1 load,3814386.8304979573
3 load,919028.3585225616
5 load,14775197.379714997
7 load,905868.5669318365
9 load,546132.4607608982
11 load,7653267.70496739
13 load,154222.32010705228
16 load,940562.4326147947
18 load,1228510.7926170756
20 load,211908.43320514273
22 load,1001946.4714806012
24 load,47911.99394355261
26 load,2307131.026495243
28 load,50178.661035547804
30 load,35527172.24847368
32 load,212248.89540991373
33 load,1747920.0174240307
34 load,3170651.7647159086
35 load,1798363.4896765244
36 load,1734172.0489199243
37 load,15034.90071224329
38 load,444978.29571467056
39 load,9535.845813409536
40 load,1090435.9339579735
41 load,20876125.323745623
42 load,1282432.08061123
43 load,1130280.7237137228
44 load,23970.388322148203
46 load,12026.39244570301
47 load,951703.0342747062
48 load,743911.7160000184
49 load,840826.9831047223
50 load,662385.579162558
51 load,173946.41509513755
52 load,12574.399831542469
53 load,661150.6903408412
54 load,94829.81401864329
55 load,7005253.229688338
56 load,82450.85113715292
57 load,156306.20175872458
58 load,152310.24124861768
59 load,3166651.324117371
60 load,227341.29743909815
61 load,216041.37192774174
62 load,167241.52111650966
63 load,10100.788797025278
64 load,4971616.078197263
65 load,612319.6962315006
66 load,418802.5075356124
67 load,1878222.4573865065
68 load,53866.440988437476
69 load,363156.2972352208
70 load,106043.65328494328
71 load,78268.0307204508
72 load,48517.457166254535
73 load,61790.082683075125
74 load,581971.3467783983
75 load,16270.032653728658
76 load,877872.7789027896
77 load,696839.8334192175
78 load,3861356.5819382463
79 load,815158.284304969
80 load,2234124.056658051
81 load,244.0099916328646
82 load,772153.2370003029
83 load,13134.321400751473
84 load,340840.3028312414
85 load,279480.54431228986
86 load,761328.3022213762
87 load,1843383.3711893994
88 load,66440.62664166135
89 load,95314.35391231073
90 load,20290.496406679085
91 load,94856.27414140399
92 load,31680.334491025613
93 load,403564.6961793049
94 load,5779114.014725518
95 load,166138.43517508765
96 load,89735.39883234836
97 load,14027.466184225548
98 load,3420327.5596780055
99 load,774496.8735054865
100 load,94581.53355036573
