Component,Lost Load
1333044421_0,2.356796277220854
-1016478854_0,0.40830051131884126
2000149022_0,24.993208707961355
-1617796573_0,1.2768996149869754
1384506802_0,0.28768558697924074
-393847358_0,8.860997862707679
-1964503845_0,0.6418393349728166
1686888444_0,6.516764025240153
C75.0,0.00849176130169326
1385764829_0,0.2703839550431833
-1452859278_0,4.0550105653444355
-1234324271_0,0.06775460535818775
1064099230_0,2.540605227714816
-1578860216_0,53.11505470774421
-1382799058_0,5.568537377453018
604673162_0,2.036415820067345
C63.0,0.01570657846650738
1187560986_0,0.7537267989905826
94044364_0,6.592505218149896
-413285834_0,0.9473938499621213
1117936324_0,3.1350131327700086
-1581250990_0,3.402315489467406
-1282014296_0,25.15596320224104
868669670_0,2.025689663027178
-1008369492_0,0.08824878523362849
C48.0,0.0224117478505691
C89.0,0.01883497993503306
3 hydro,0.0003862516603671793
1342391373_0,34.08203185421154
-1827864536_0,0.4660741811219983
-885192936_0,0.6901237616367077
-1389783646_0,46.0516895177372
-1559876706_0,0.7640810751223834
-1953944760_0,0.8819706128330627
C88.0,0.02363072560085038
2009226556_0,95.47320309436722
-929792848_0,18.37699568852611
-2004087020_0,0.36993323420671687
1689922187_0,4.6140115919051405
1309316397_0,9.917321833242065
1725610665_0,18.553290720503675
1183053792_0,2.6428942846002
C95.0,0.37588836096105616
-1003233322_0,1.94315095402574
-890252095_0,0.7576635557714462
2035876983_0,2.4891789033528737
C40.0,0.336858322023821
837974539_0,37.16379420561414
1007144354_0,109.6102514701446
869106671_0,1.921434534409876
-382422293_0,10.42137873093559
-724931943_0,0.5657168554801895
-753810532_0,47.73973846403974
2140782312_0,0.012850928352527716
C30.0,0.017265536168386917
C109.0,0.40790911832705795
C66.0,0.003790842694480034
733428179_0,0.0035139840372471554
1487666159_0,3.2260322550616713
C74.0,0.015775480262541806
1872975398_0,2.4324839498055346
C33.0,0.007137342698616067
433304102_0,3.0106242876929046
1680295840_0,21.980553762127013
-444590878_0,0.05988626932673924
83-7 hydro,0.6279816831343665
-964455789_0,0.6637457915849441
1631160969_0,0.8767081606061615
C34.0,0.03411472617882555
-1516111715_0,10.557722400040232
C64.0,0.1234581945861132
346179098_0,0.20623661588325515
1286796265_0,2.066784487130246
C68.0,0.009269752139215598
-1326778859_0,0.015329458644391707
C72.0,0.014516494055717886
950706355_0,0.6674334746634808
531108144_0,14.830372273347102
-1610587687_0,3.7094865874845033
C98.0,6.736954053190389
104355897_0,1.400860148766249
-2037512606_0,0.11788696275086524
95418176_0,1.2844414592047473
C46.0,0.007120378787088612
9 hydro,0.0004482366749398352
-1464549976_0,0.31991963060937273
C85.0,0.017527388984839035
1118471612_0,0.32854189115055127
C67.0,0.007857845628321683
-251780797_0,1.9027091946318462
1089459438_0,0.28200443953813875
C91.0,0.006874548444724496
25 hydro,0.00038479560505720654
-925448157_0,0.03608093105361377
483659582_0,7.702465937768072
0 hydro,0.015613152739159432
1053115078_0,0.16875808902693484
-657715146_0,5.848167908810032
C58.0,0.015847534887618166
793200187_0,0.07262146522842704
C93.0,0.038644550466884545
13 hydro,1.9870829142746514e-05
C69.0,0.005433368474845792
C56.0,0.04086004390653261
-1788193310_0,0.35204753732064864
C50.0,0.0004112693563915855
C96.0,0.2245552002420868
C70.0,0.0003765645474809389
1208445144_0,0.3324308679047029
-1698692648_0,0.285071937875118
C90.0,0.00037540542004308006
C65.0,0.0004124638106368366
C73.0,0.10114879258533938
11 hydro,0.0004097004566783653
C100.0,0.00994133562226989
-1658871680_0,0.04317276711269915
17 hydro,0.014239177613703304
976170643_0,0.41515272705269857
C29.0,0.018994054482210688
C81.0,0.0004119572782901741
1995198495_0,0.2067699992465864
C92.0,0.011897458755204753
C78.0,0.0034165568741395874
C32.0,0.0034179648605640977
-450422875_0,0.15229486932841657
10 hydro,0.006305401592302588
C99.0,0.3721765693161715
-1495835241_0,0.0810620725718104
-546895751_0,0.006418658618837071
C62.0,0.01138566212114756
1244424213_0,0.08965733885271539
C76.0,0.008868509882616763
27 hydro,0.6328909103351484
12 hydro,0.010412817816025837
C36.0,0.20024174812126558
75 solar,0.008491676727677713
1622358979_0,0.5252547230517521
C83.0,0.0033021891012540434
24 hydro,0.003025582159708847
C94.0,0.18565790296890827
1 hydro,0.0637920407683714
-885807357_0,0.033376735502645256
22 hydro,0.0030053185236283753
4 hydro,2.22336612359868e-05
5 hydro,0.00043838796015870687
C61.0,1.913654977170154e-05
37-1 hydro,0.05921477935943812
C80.0,0.01584238425812464
C84.0,0.001952698942088773
8 hydro,0.0004310027483506929
C51.0,0.008492054440600897
C79.0,0.00642208535367763
-694231642_0,0.007295980775511908
-2011192660_0,0.01794253881638315
C41.0,0.07497724036387443
C35.0,0.0007885204049298409
C57.0,0.021601007407459745
C77.0,0.007118736114570766
C39.0,0.009861286471064885
-1359706950_0,0.1245326981025678
C31.0,0.0030050804430720745
18 hydro,0.00397662592318784
-947615685_0,0.012382320047746816
C82.0,0.009671195338333747
C71.0,0.0004320068098168122
C60.0,0.0018164515306953036
23 hydro,0.003019558164515274
C97.0,0.01712832663502604
C47.0,0.0003758700689509169
71312658_0,0.003954732508551842
2099635059_0,0.3391434005046381
19 hydro,0.06033719764069065
14 hydro,0.0077059439811228
-1025814263_0,0.10022347024427244
7 hydro,0.00039028036695390255
-1786957592_0,0.0003525780486688745
C87.0,2.095597003471994e-05
