Components,Lost Load
"('C72.0', 'C97.0')",0.04538476828613011
"('C72.0', 'C97.0', '27 hydro')",0.14443390214955207
"('-1516111715_0', 'C36.0', 'C68.0', 'C74.0')",0.0167409799055381
"('C36.0', 'C74.0', 'C85.0')",0.08816929586922287
"('-1559876706_0', 'C60.0')",0.0004947083279193975
"('837974539_0', 'C94.0', '10 hydro')",0.47719970302458303
"('-1658871680_0', '1244424213_0', 'C89.0')",0.17748758490321598
"('-1658871680_0', 'C89.0')",0.00981687367256336
"('837974539_0', '1631160969_0', 'C30.0', 'C89.0')",0.139259926840228
"('2000149022_0', 'C32.0')",0.37875755816767015
"('2000149022_0', 'C32.0', 'C82.0')",2.1070100112398475
"('2000149022_0', 'C32.0', 'C81.0', 'C82.0')",0.2652735325356234
"('1007144354_0', 'C62.0', 'C82.0')",0.15063462161993585
"('1007144354_0', 'C62.0', 'C82.0', 'C87.0')",1.6024041536605227
"('1007144354_0', 'C60.0', 'C62.0', 'C82.0', 'C87.0')",0.10155922063764933
"('1342391373_0', 'C62.0')",1.5500235962502678
"('-753810532_0', 'C62.0', 'C68.0')",0.9352583142546553
"('1007144354_0', 'C68.0')",3.0097817757240355
"('2000149022_0', 'C72.0')",0.6962685462051221
"('1622358979_0', 'C92.0')",0.10467577122160901
"('1117936324_0', 'C50.0', 'C95.0')",0.10662724715993772
"('-753810532_0', 'C100.0')",0.3822357553371353
"('1183053792_0', 'C90.0', '12 onwind', '13 hydro')",0.12619902967941288
"('1183053792_0', 'C90.0')",1.019032621877118
"('-1516111715_0', 'C47.0', 'C41.0', 'C90.0')",0.1767978222412412
"('869106671_0', 'C47.0', 'C41.0', 'C90.0', 'C82.0')",0.0152616869415815
"('-1610587687_0', 'C60.0', 'C67.0')",0.033485760518410644
"('-1389783646_0', 'C67.0')",2.066898947407612
"('-1617796573_0', '27 hydro')",0.027538965857220772
"('-393847358_0', 'C50.0')",0.1077964006161269
"('-413285834_0', 'C34.0')",0.0069458789112914025
"('1117936324_0', 'C58.0')",0.3941319642313788
"('104355897_0', 'C60.0', 'C79.0')",0.01798757292728851
"('-1008369492_0', 'C92.0', 'C78.0', '6 hydro')",0.07576411737813896
"('-657715146_0', 'C92.0', 'C78.0')",0.48135653851086274
"('-1578860216_0', '-657715146_0', 'C92.0', 'C78.0')",0.9794440640298487
"('-657715146_0', 'C92.0')",0.4515867810208006
"('2000149022_0', 'C92.0')",0.26654855536905553
"('1118471612_0', 'C61.0')",0.003399595710031008
(),0.3010589644636616
"('1680295840_0', 'C32.0', 'C39.0', 'C93.0')",0.7461644964089551
"('1686888444_0', 'C97.0')",0.22559996929727366
"('1342391373_0', 'C61.0', 'C64.0', 'C74.0', 'C80.0', '25 hydro')",0.3164572878574538
"('1342391373_0', 'C64.0', 'C74.0', 'C80.0', '25 hydro')",0.5087072112904097
"('1342391373_0', 'C64.0', 'C80.0', '25 hydro')",0.5690683489860531
"('-753810532_0', 'C59.0', 'C80.0', '25 hydro')",0.38251818872009224
"('1385764829_0', 'C59.0')",0.013173301967483439
"('2000149022_0', 'C48.0')",2.367187067690778
"('950706355_0', 'C48.0')",0.08263930786265429
"('2009226556_0', 'C32.0')",1.2506300091823168
"('2009226556_0', 'C32.0', 'C79.0')",1.0344598657098258
"('2009226556_0', 'C32.0', 'C66.0')",3.849244756643867
"('2009226556_0', '1631160969_0', 'C32.0', 'C66.0')",0.8435821103145529
"('2009226556_0', 'C49.0', 'C60.0', 'C69.0')",1.9058197880625802
"('1680295840_0', 'C49.0', 'C60.0', 'C69.0')",0.8168942312514736
"('1064099230_0', 'C69.0')",0.39913936498641245
"('-1559876706_0', 'C46.0', '22 hydro')",0.03459887355550382
"('-753810532_0', 'C78.0', 'C109.0')",3.0344066728825645
"('1118471612_0', '-413285834_0')",0.012236308797988387
"('-1389783646_0', '1118471612_0')",0.9756165286309602
"('-1389783646_0', '1118471612_0', 'C87.0')",2.0896704550017766
"('2009226556_0', 'C86.0')",0.35683589321127573
"('-1953944760_0', 'C56.0')",0.08684314335744966
"('104355897_0', '0 hydro')",0.048935335933414995
"('-1578860216_0', 'C79.0')",1.4219176487466125
"('346179098_0', 'C64.0', 'C100.0', 'C109.0')",0.025105572986376955
"('C64.0', 'C100.0', 'C109.0')",0.20382349607373454
"('C100.0', 'C109.0')",0.06718547284625447
"('-1581250990_0', 'C76.0', 'C109.0')",0.17131868387941085
"('1622358979_0', '2048231543_0', 'C59.0')",0.06550510973474684
"('869106671_0', 'C59.0', 'C73.0', 'C75.0')",0.05981818897584344
"('869106671_0', 'C59.0', 'C75.0')",0.007791636857801677
"('C59.0', 'C75.0')",0.0037865967948782784
"('837974539_0', 'C60.0', 'C39.0', '3 hydro')",1.9493367808747946
"('1286796265_0', 'C94.0', 'C76.0', '25 hydro')",0.06417164970458793
"('1244424213_0', 'C83.0')",0.10853289538437458
"('-2037512606_0', 'C83.0')",0.0037575232495278216
"('-753810532_0', 'C34.0', '3 hydro')",0.28343484111827594
"('2035876983_0', 'C34.0', 'C71.0')",0.04672110982778303
"('2035876983_0', 'C57.0', 'C71.0')",0.0063007796827473615
"('94044364_0', 'C30.0')",0.04156858751265509
"('-1581250990_0', 'C70.0', 'C40.0')",0.03629576181124048
"('1117936324_0', 'C58.0', '9 hydro')",0.044788005908548714
"('C58.0', 'C81.0', '9 hydro', '83-7 hydro')",0.05082767353878671
"('1007144354_0', 'C39.0')",4.92922124408728
"('2000149022_0', 'C29.0')",0.11088716166938502
"('12 hydro', '83-7 hydro', '0 hydro')",0.001870128001455214
"('2000149022_0', '1594273463_0')",0.16980271383591367
"('2009226556_0', 'C63.0', '23 hydro', '4 hydro')",1.034496637037114
"('1342391373_0', 'C39.0', '23 hydro', '4 hydro')",0.17016944624427743
"('1342391373_0', 'C39.0', 'C89.0', '23 hydro', '4 hydro')",0.48216148461392905
"('1384506802_0', 'C62.0', 'C67.0', 'C109.0')",0.07871632079660822
"('1309316397_0', '26 hydro')",0.0007606314729332553
"('1342391373_0', 'C89.0')",1.7190433107931002
"('1342391373_0', '-1516111715_0', '-1581250990_0', 'C89.0')",1.194125523050724
"('1342391373_0', '-1516111715_0', 'C89.0')",2.0815018815686974
"('1342391373_0', '-1516111715_0', 'C89.0', 'C88.0')",0.20125525428530477
"('1342391373_0', 'C89.0', 'C88.0')",0.30687626142865265
"('-1578860216_0', 'C78.0', 'C80.0')",0.031352898840249055
"('-1578860216_0', 'C80.0')",2.214311710793823
"('-753810532_0', 'C86.0')",1.42405917167382
"('2000149022_0', 'C47.0', 'C59.0', 'C90.0')",0.16602062691168817
"('-1516111715_0', 'C47.0', 'C41.0', '5 hydro')",0.02339850968038513
"('-1516111715_0', 'C34.0', 'C47.0', 'C41.0', '5 hydro')",0.05727411256029336
"('-1516111715_0', 'C34.0', 'C47.0', 'C41.0')",0.17710510136652646
"('483659582_0', 'C47.0', '20 hydro')",0.580202195716821
"('-413285834_0', 'C70.0')",0.08179648853397863
"('1208445144_0', 'C83.0')",0.38750822084575814
"('1208445144_0', 'C83.0', '6 hydro')",0.05114801776389504
"('-890252095_0', 'C83.0')",0.048836698265867874
"('1117936324_0', '15 hydro')",0.09127677473511903
"('1117936324_0', 'C40.0')",2.461049920258472
"('1342391373_0', 'C48.0', 'C51.0', '83-7 hydro', '8 hydro')",0.2766518249928706
"('1342391373_0', 'C48.0', 'C51.0', '8 hydro')",0.12408545896233704
"('1007144354_0', '1594273463_0', 'C40.0', 'C96.0', 'C77.0', 'C87.0')",0.21098580454919896
"('1007144354_0', 'C40.0', 'C96.0', 'C77.0', 'C87.0')",1.3204946165381566
"('-444590878_0', 'C49.0', 'C83.0')",0.08905866717432581
"('C98.0', 'C73.0', '1 hydro')",0.05427739717912255
"('C98.0', 'C73.0', 'C93.0')",0.29664449093379974
"('-753810532_0', 'C98.0', 'C93.0', '12 hydro')",0.02171481426398873
"('-929792848_0', 'C60.0')",0.06958102367803963
"('-1282014296_0', 'C51.0')",0.19839699861687995
"('-1282014296_0', 'C63.0')",0.3240885371362392
"('-1282014296_0', '94044364_0', 'C50.0', 'C63.0')",0.9221954623509495
"('868669670_0', 'C50.0', 'C63.0')",0.061911649938042955
"('868669670_0', 'C63.0')",1.0495141749081933
"('1385764829_0', 'C90.0', '3 hydro')",0.010541722415724052
"('1007144354_0', '-1852926576_0', 'C62.0', 'C95.0', '3 hydro', '22 hydro')",0.9392631666435103
"('1007144354_0', '-1852926576_0', 'C62.0', '3 hydro', '22 hydro')",1.5288552236681265
"('-1234324271_0', '1007144354_0', 'C62.0', '3 hydro', '11 hydro')",1.7036268045617693
"('-1234324271_0', '1007144354_0', 'C62.0', '3 hydro', '11 hydro', '5 hydro')",0.2710915430322143
"('2099635059_0', '2048231543_0', '14 hydro')",0.18493898828832017
"('-753810532_0', 'C41.0', 'C76.0', 'C80.0')",1.1716534992707492
"('C64.0', 'C41.0', 'C80.0')",0.023594577467672934
"('C64.0', 'C80.0')",0.01512030470930904
"('-1953944760_0', 'C36.0', 'C64.0')",0.08382654111355396
"('-1559876706_0', 'C36.0')",0.07495900066792661
"('1725610665_0', '-1559876706_0', 'C31.0', 'C36.0')",0.19519543676472131
"('1725610665_0', 'C31.0', 'C36.0')",0.2793067112481026
"('1725610665_0', 'C31.0', 'C36.0', 'C97.0')",0.6558191867707196
"('1725610665_0', 'C31.0', 'C36.0', '25 hydro')",0.2387066579599591
"('1118471612_0', 'C36.0', '25 hydro')",0.005260255817713642
"('-393847358_0', 'C65.0', 'C39.0', 'C87.0')",0.32447715940945454
"('-1581250990_0', 'C56.0')",0.34337262731514145
"('1007144354_0', 'C35.0', 'C49.0')",1.2794032870615875
"('1007144354_0', 'C35.0', 'C49.0', 'C41.0')",0.15590629737315795
"('C35.0', 'C49.0', 'C41.0')",0.003655733492127183
"('-1389783646_0', 'C32.0')",4.8387830768106745
"('104355897_0', 'C32.0')",0.025262714833844714
"('C48.0', 'C66.0', 'C78.0', 'C81.0')",0.007811352708011327
"('-929792848_0', 'C48.0')",0.19505088748638583
"('1118471612_0', 'C29.0', 'C56.0', '26 hydro')",0.00781914747894416
"('1872975398_0', 'C30.0', 'C67.0', 'C72.0')",0.20700713231826012
"('-1578860216_0', 'C30.0', 'C72.0', 'C85.0')",0.18965264272259924
"('1007144354_0', 'C30.0', 'C72.0', 'C96.0', 'C85.0', '15 hydro')",0.19043634866322395
"('1007144354_0', 'C30.0', 'C72.0', 'C96.0', 'C85.0')",0.3483688211391539
"('1007144354_0', 'C30.0', 'C72.0', 'C89.0', 'C96.0', 'C85.0')",0.39367087237202736
"('1007144354_0', 'C30.0', 'C89.0', 'C96.0', 'C85.0')",0.7635742272100319
"('1007144354_0', '869106671_0', 'C30.0', 'C89.0', 'C96.0', 'C85.0')",0.8472215106608414
"('1007144354_0', '869106671_0', 'C30.0', 'C89.0', 'C85.0')",2.5403912789564065
"('1007144354_0', 'C30.0', 'C89.0', 'C85.0')",0.30455230777723047
"('1007144354_0', 'C30.0', 'C89.0')",0.07723070663048474
"('2000149022_0', 'C40.0', 'C91.0', '26 hydro')",1.3301229496082865
"('-2037512606_0', 'C40.0', '26 hydro')",0.18447335058474845
"('-1578860216_0', 'C39.0')",0.37967398876687597
"('-1516111715_0', '26 hydro')",0.5079197143315194
"('1686888444_0', 'C41.0', 'C87.0')",0.12694759210251505
"('1007144354_0', '26 hydro')",3.10474906767313
"('1007144354_0', 'C75.0', '26 hydro')",0.4824344562996751
"('1680295840_0', 'C46.0', 'C75.0')",0.47065152429693446
"('1680295840_0', 'C46.0', 'C75.0', '26 hydro')",0.3125431070620293
"('1309316397_0', 'C34.0', 'C67.0', '17 hydro')",0.20111495481823932
"('-885192936_0', 'C39.0')",0.011627452584072443
"('-885192936_0', 'C89.0')",0.007066024835925418
"('-885192936_0', 'C89.0', '22 hydro')",0.034433286660054366
"('-925448157_0', 'C89.0')",0.012616787541346184
"('1309316397_0', 'C90.0', '83-6 hydro')",0.0005646523877258005
"('-382422293_0', 'C35.0', 'C97.0')",0.3578479638036133
"('-382422293_0', 'C35.0', 'C97.0', 'C81.0')",0.19340846225449196
"('604673162_0', 'C35.0', 'C59.0', 'C86.0')",0.018551747817512478
"('C48.0', 'C69.0', 'C86.0')",2.176264856598209e-05
"('1286796265_0', 'C47.0', 'C100.0', 'C73.0', 'C88.0')",0.016630815167236506
"('1286796265_0', 'C47.0', 'C73.0', 'C88.0')",0.05936968692376013
"('C47.0', 'C73.0', 'C88.0')",0.02044651726905613
"('94044364_0', 'C36.0')",0.0051269820511529365
"('-753810532_0', '-885192936_0', 'C66.0', '15 hydro')",1.199952145164396
"('-1578860216_0', 'C29.0')",2.9559496166228376
"('1342391373_0', 'C29.0')",1.2146985086499558
"('1183053792_0', 'C90.0', 'C81.0', '22 hydro')",0.10944226718330265
"('1183053792_0', 'C90.0', '22 hydro')",0.18405741075638185
"('-818481380_0', 'C83.0')",0.05414130281561529
"('-753810532_0', 'C58.0')",0.6453773892271829
