Generator,Times Load Loss
1 load,532
3 load,250
5 load,4478
7 load,650
9 load,45
11 load,1204
13 load,11
16 load,699
18 load,1526
20 load,457
22 load,1583
24 load,18
26 load,550
28 load,1179
30 load,1869
32 load,12
33 load,96
34 load,2649
35 load,31
36 load,491
37 load,5
38 load,737
39 load,5
40 load,27
41 load,6341
42 load,1149
43 load,182
44 load,2
46 load,2
47 load,2914
48 load,9
49 load,20
50 load,326
51 load,14
52 load,1
53 load,1164
54 load,421
55 load,373
56 load,172
57 load,127
58 load,7
59 load,1184
60 load,689
61 load,439
62 load,268
63 load,22
64 load,1420
65 load,575
66 load,50
67 load,114
68 load,19
69 load,185
70 load,672
71 load,365
72 load,814
73 load,916
74 load,79
75 load,160
76 load,1515
77 load,2002
78 load,603
79 load,1597
80 load,129
81 load,0
82 load,36
83 load,8
84 load,544
85 load,1517
86 load,715
87 load,37
88 load,689
89 load,333
90 load,60
91 load,592
92 load,302
93 load,55
94 load,404
95 load,32
96 load,1116
97 load,6
98 load,1539
99 load,3377
100 load,109
