Generator,Total Load Loss
1 load,45752.85785969666
3 load,32580.513487865304
5 load,978881.4156302166
7 load,63950.09023197659
9 load,1007.0449526657286
11 load,103932.59187339521
13 load,347.8003945646549
16 load,32251.55534172355
18 load,71461.80273961592
20 load,5830.1776063194
22 load,105001.42683489378
24 load,738.0721782330183
26 load,56745.10332019288
28 load,3669.180097331253
30 load,139164.77269398753
32 load,333.63954262874915
33 load,7962.626068739628
34 load,264676.8788563618
35 load,1143.481643007903
36 load,53028.800003904325
37 load,95.98403127036623
38 load,7756.043954976531
39 load,116.73648010369827
40 load,1703.3734353853004
41 load,1039641.2046445956
42 load,139261.08312105152
43 load,20705.478300100098
44 load,72.95883059594178
46 load,10.09794084332347
47 load,47770.34152650033
48 load,163.77350742330847
49 load,1444.4805611926874
50 load,15848.834580347688
51 load,349.64804394360635
52 load,10.653647800261401
53 load,35212.467515821736
54 load,10039.907641233258
55 load,6434.106756659788
56 load,1838.9037901311096
57 load,8768.047639500366
58 load,132.1494444607497
59 load,98380.38924651779
60 load,6526.80768918855
61 load,12835.867515246027
62 load,6721.422368242385
63 load,345.57741062487037
64 load,146765.04103007013
65 load,18127.7679027578
66 load,1509.4270086587942
67 load,4288.228582354465
68 load,446.8684847250401
69 load,7636.038288223143
70 load,5730.7748973847765
71 load,2518.380012722765
72 load,2818.3984330488706
73 load,4888.694055276854
74 load,2098.568616998849
75 load,2417.512266073051
76 load,48304.56454535157
77 load,49586.26828070416
78 load,89985.93424253179
79 load,79205.9732004221
80 load,4250.969991738912
81 load,0.02600195669618924
82 load,1041.6202483214026
83 load,82.86040799535459
84 load,11109.266497403016
85 load,14483.07316044803
86 load,65395.93796272864
87 load,869.5313445263183
88 load,4259.760625845071
89 load,7095.593914258164
90 load,378.92604921804923
91 load,2452.654628426794
92 load,1500.695883616462
93 load,997.5899019798829
94 load,5584.067726952328
95 load,523.8844850368439
96 load,8550.117749391313
97 load,71.83461174721654
98 load,125780.46458667962
99 load,60604.09287388348
100 load,7628.920128372301
