id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
1,SIS,hydro,Reservoir,PP,BO,91.11,,1973,1973,2073,-17.191557,-65.823456,,0,0,153.73,SIS-010_SIS,Santa Isabel SIS-010 SIS
2,COR,hydro,Reservoir,PP,BO,65.25,,1967,1967,2067,-17.2124218,-65.8765639,,0,0,193002.74,COR-010_COR,Corani COR-010 COR
5,ZON,hydro,Reservoir,PP,BO,11.04,,1996,1996,2096,-16.0997852,-68.0522296,,0,0,3121,ZON-006_ZON,Zongo ZON-006 ZON
6,TIQ,hydro,Reservoir,PP,BO,9.72,,1996,1996,2096,-16.2016284,-68.1389095,,0,0,7716.32,TIG-006_TIQ,Tiquimani TIG-006 TIQ
9,SRO01,hydro,Reservoir,PP,BO,6.9,,2005,2005,2105,-16.13164,-68.10882,,0,0,1.02,SRO-006_SRO01,Santa Rosa BC SRO-006 SRO01
16,MIG,hydro,Reservoir,PP,BO,2.55,,1931,1931,2031,-16.9254382,-67.3769733,,0,0,2732.94,MIG-069_MIG,Miguilla MIG-069 MIG
17,ANG,hydro,Reservoir,PP,BO,6.23,,1936,1936,2036,-16.8943087,-67.316225,,0,0,13566.64,MIG-069_ANG,Angostura MIG-069 ANG
18,CHO,hydro,Reservoir,PP,BO,6.2,,1939,1939,2039,-16.8481541,-67.3186577,,0,0,103.74,MIG-069_CHO,Choquetanga MIG-069 CHO
19,CRB,hydro,Reservoir,PP,BO,6.13,,1958,1958,2058,-16.8681617,-67.3533474,,0,0,1382.71,MIG-069_CRB,Carabuco MIG-069 CRB
20,CHJ,hydro,Reservoir,PP,BO,38.4,,2002,2002,2102,-16.412412,-67.7719186,,0,0,8251.22,CHJ-011_CHJ,Chojlla CHJ-011 CHJ
27,SJA,hydro,Reservoir,PP,BO,7.6,,2015,2015,2115,-21.5761915,-64.7209194,,0,0,5443.6,TAJ-115_SJA,San Jacinto TAJ-115 SJA
28,MIS,hydro,Reservoir,PP,BO,120,,2017,2017,2117,-17.3151747,-66.260958,,0,0,330427.89,MIS-115_MIS,Misicuni MIS-115 MIS
29,GCH01*,OCGT,OCGT,PP,BO,16.84,0.35,1975,1995,2025,-17.7861315,-63.1542483,0,0,0,0,GCH-069_GCH01,Guaracachi GCH-069 GCH01
30,GCH02*,OCGT,OCGT,PP,BO,15.99,0.35,1977,1997,2027,-17.7861514,-63.1537873,0,0,0,0,GCH-069_GCH02,Guaracachi GCH-069 GCH02
31,GCH04*,OCGT,OCGT,PP,BO,18.1,0.35,1980,2000,2030,-17.7861724,-63.1535983,0,0,0,0,GCH-069_GCH04,Guaracachi GCH-069 GCH04
32,GCH06*,OCGT,OCGT,PP,BO,18.79,0.35,1988,2008,2038,-17.7861777,-63.1526582,0,0,0,0,GCH-069_GCH06,Guaracachi GCH-069 GCH06
33,GCH09COM*,OCGT,OCGT,PP,BO,57.14,0.35,1999,1999,2029,-17.7878257,-63.1524502,0,0,0,0,GCH-069_GCH09COM,Guaracachi GCH-069 GCH09COM
