Year,CCGT,OCGT,biomass,geothermal,hydro,hydro_store,oil,onwind,solar
2024,0.5482324963107487,5.60171254755311e-11,0.7199999999999129,0.6523853479781089,0.5776168191476945,0.5258805997847447,1.7404805692819076e-10,0.1182076758404386,0.18820769060703782
2025,0.5390465513921159,2.3861646597634704e-10,0.7199999999998048,0.9352714441558527,0.5888067070551346,0.5258805997010492,1.8981088952911423e-09,0.11820767564884042,0.2005873834772545
2026,0.5174832037989145,1.9119547888390437e-06,0.7199998804293678,0.7647436211957063,0.5888050819449685,0.5258796061443501,1.4485215016770445e-05,0.11820586400966743,0.20260842383527047
2027,0.4959216922184803,1.3988504383427579e-06,0.7199999544716712,0.8049523885589412,0.5888062819738815,0.5258800622316215,1.1693009099138272e-05,0.1182055043010806,0.2005969710227132
2028,0.47434514467133,2.4871958635240802e-05,0.7199999638802134,0.9019063907681509,0.5888223706158742,0.525878960818587,2.0352756907479606e-05,0.11816469428208175,0.19919378721754588
2029,0.4504622508815094,0.0001223391931705939,0.7199996075055388,0.923526996134957,0.5879675957354688,0.5258199945588592,2.287727008386047e-05,0.10933357282904381,0.1969453592097681
2030,0.41945606478907205,7.637556031688681e-05,0.7199996229656613,0.9103195061845881,0.6267713457091021,0.5258077111776214,2.727628581810918e-05,0.11014892297489702,0.19731628763118922
2031,0.39258500233873833,4.2883070633109044e-05,0.7199998817208199,0.8981676435033439,0.6707775471325709,0.5225045859095129,1.9074242844363997e-05,0.1095995102046196,0.1977052156975437
2032,0.32866500180953495,5.297978034319836e-06,0.71999995860553,0.9996397363057813,0.6920785300872816,0.522476288534752,4.784085218116446e-05,0.10104424142105257,0.1892145795946475
2033,0.23152483156174233,3.894740135166586e-06,0.7199995115679426,0.9996789186692971,0.7429499465933058,0.5222877302551532,4.3379597517166915e-05,0.09425017765086577,0.18058887740262708
2034,0.06203453321566285,9.509873758461232e-07,0.7199999346995976,0.9996360612085462,0.7476410720006033,0.5224559789648826,8.029075155566924e-06,0.09776352709504105,0.18140584799598686
2035,0.05662839006485238,2.087258241646217e-06,0.7199999937144606,0.9996095428938945,0.7590553265650767,0.5223853213733918,2.6734482491199614e-05,0.05607049608932445,0.1791572108254497
2036,0.059763526300648566,2.5796260298096302e-06,0.7199991144226782,0.9998257690015189,0.740552728147303,0.5142965062368448,3.253186494417248e-05,0.052900351664732254,0.18673889425824305
2037,0.05931563542915475,1.7437156331720773e-06,0.7199998579770888,0.9998660097043416,0.7585164933387871,0.5142848296603044,2.7592844070304915e-05,0.05621180562178106,0.18860462631561922
2038,0.05746606995493115,1.887090726493277e-06,0.7199999939167797,0.9998680539709027,0.7637142001087177,0.5143355777242964,3.0486676116494005e-05,0.058586315529530836,0.19269816149395358
2039,0.05734869037840769,1.978308957642665e-06,0.7199999460164838,0.9998428640831791,0.7645844215815092,0.505853517290436,2.9875774960764656e-05,0.05977359288880204,0.1948664409081829
2040,0.06903970062481989,5.519364184743125e-05,0.7199871891601421,0.9983560702465062,0.7612661107693026,0.5054011800534892,0.00031820439200241717,0.05840652050153081,0.1913430633816063
