year,Charger,Discharger,Battery Storage
2024,8.16145218652218e-08,9.068280207246866e-08,1.28384904280665e-07
2025,1.2025901900729462e-06,1.3362113223032736e-06,2.2293811349151612e-06
2026,0.0082629605080681,0.009181067231186777,0.015997623428000474
2027,8.750548221421288e-05,9.722831357134726e-05,0.0011501882883096642
2028,0.000385112371130902,0.00042790263458989015,9.763485320010701e-05
2029,0.00805207529401343,0.00894675032668159,0.019692571745712213
2030,0.003476224742952151,0.0038624719366135013,0.00532829130970152
2031,0.0017100894423517886,0.001900099380390874,0.007870912667381318
2032,0.003702200368827697,0.0041135559653641095,0.018657242226980432
2033,0.007513933036193021,0.008348814484658917,0.045263207974132316
2034,0.008937754235861711,0.009930838039846339,0.03605788646771499
2035,0.022297994487765704,0.02477554943085078,0.0862373040353509
2036,0.0021927300342831774,0.00243636670475908,0.02755170303429544
2037,0.003143091794123587,0.003492324215692885,0.012530082188026315
2038,0.008893936353274345,0.009882151503638165,0.027174068457964662
2039,0.0047855307172614825,0.005317256352512761,0.021621928343975305
2040,0.05146352577296774,0.05718169530329749,0.05078886713838071
