,CCGT,OCGT,Oil,Geothermal,Hydro,Wind,Solar,Biomass
2024,6.450116,3.8014325e-10,1.8295932e-11,1.3649632e-11,3.550085,0.1360646,0.2721673,0.8055556
2025,6.3420405,1.584098e-09,1.9952921e-10,1.8076058e-09,3.6367915,0.1360646,0.9755356,0.8055556
2026,6.088342,1.0999054e-05,1.5229442e-06,2.3382665e-06,3.6367846,0.13606381,1.6262283,0.8055569
2027,5.8346643,7.8513385e-06,1.229462e-06,3.7156526e-06,3.6367922,0.13606493,2.2198946,0.8055604
2028,5.58081,0.00013959904,2.140681e-06,1.0675951e-05,3.6369421,0.13602118,2.8835027,0.8055613
2029,5.299821,0.00056543516,2.4063415e-06,0.102229975,3.6340306,0.12585606,3.4789038,0.80558234
2030,4.9350243,0.00028498244,2.870637e-06,0.52805424,3.976766,0.12679534,3.4854586,0.80560523
2031,4.6188784,0.00016001149,2.0076816e-06,0.7672231,4.4576244,0.1261633,3.4923296,0.80561066
2032,3.866841,1.976859e-05,3.6363565e-06,1.7295809,4.826247,0.11631673,3.34235,0.8056327
2033,2.7239604,1.4532722e-05,3.3009321e-06,2.605362,5.95843,0.1084974,3.189983,0.80574626
2034,0.7298553,3.5484893e-06,6.1101406e-07,3.0206883,5.98595,0.112543836,3.2044146,2.9785478
2035,0.66625035,7.78835e-06,1.5193044e-06,3.62516,6.051413,0.013400131,3.1568615,3.185538
2036,0.7031362,9.625564e-06,1.8523072e-06,4.384803,5.816297,0.012648112,3.2904558,3.1856132
2037,0.697867,5.565847e-06,1.5746191e-06,4.4669995,5.87269,0.013442386,3.323344,3.7418032
2038,0.6761067,5.635893e-06,1.740251e-06,4.4670105,5.9019074,0.014011856,3.395479,4.4148993
2039,0.6747257,5.9083422e-06,1.7056487e-06,4.466898,5.8523746,0.014300702,3.5606785,5.0850267
2040,0.8122766,0.00011335332,1.8169547e-05,4.4602556,5.832413,0.013982133,4.054229,5.2979527
