,CCGT,OCGT,Oil,Geothermal,Hydro,Wind,Solar,Biomass
2024,6.542231,0.024140134,8.0982636e-07,1.2790791e-07,3.343225,0.19457361,0.30428207,0.80555534
2025,6.3332186,0.006860906,5.38827e-07,5.515526e-07,3.5198972,0.1946533,1.0358129,0.80555576
2026,6.0698547,0.014374617,1.4805448e-05,6.5283217e-07,3.5199006,0.19465342,1.6886473,0.805556
2027,5.8158193,0.014650074,1.4683272e-05,7.1824087e-07,3.5164607,0.19463812,2.2858648,0.8055562
2028,5.56358,0.013510649,2.9319735e-05,9.711006e-07,3.5165172,0.194538,2.9492552,0.8055564
2029,5.308643,0.014492659,1.7064647e-05,4.627161e-05,3.5837731,0.18846385,3.5459943,0.8055568
2030,5.026917,0.0126728825,2.8424265e-05,0.11604321,4.1259623,0.18486758,3.5859632,0.8055586
2031,4.7006197,0.010734904,2.894775e-05,0.40293995,4.5779405,0.1822154,3.587971,0.8055591
2032,4.1542506,0.008839335,2.8839217e-05,0.99072987,5.056303,0.17378958,3.4975083,0.80556244
2033,3.1948056,0.0052455426,1.2810007e-05,1.8667014,5.8349524,0.16841637,3.3772485,0.9446419
2034,1.1062522,0.0041645025,2.0500952e-06,2.7423837,5.826228,0.16325007,3.353066,2.8366852
2035,1.0920832,0.0043099276,1.558601e-05,3.3653183,5.817338,0.0020454677,3.3816211,3.0360465
2036,1.0706179,0.0047730855,8.7374365e-06,3.8361685,5.7504797,0.0021319708,3.416408,3.3125153
2037,1.0431595,0.0048167375,1.2652497e-05,4.302623,5.752238,0.002397203,3.4290657,3.582723
2038,0.9763459,0.005382069,2.4116645e-05,4.466072,5.7627773,0.002568706,3.4969654,4.1610074
2039,0.88167626,0.0057803867,2.2753527e-05,4.4674006,5.7216754,0.0026451333,3.56757,5.008769
2040,0.9855146,0.0067574396,2.2567427e-05,4.4674726,5.7134957,0.13151903,3.870042,5.2980156
